"No.","Uniprot_id","Organism","Chembl_id","OpenTargets_id","TTD_id","TTD_target_type","Docking_PDB_id","Docking_score","Target_name","Gene_names","Function","Probability"
11,"P08183","Homo sapiens (Human)","CHEMBL4302","ENSG00000085563","MDR1_HUMAN","Successful target","Alphafold2",-7.0,"P-glycoprotein 1","ABCB1;MDR1;PGY1","carboxylic acid transmembrane transport; ceramide translocation; export across plasma membrane; G2/M transition of mitotic cell cycle; phospholipid translocation; positive regulation of anion channel activity; regulation of chloride transport; regulation of response to osmotic stress; response to xenobiotic stimulus; stem cell proliferation; terpenoid transport; transepithelial transport; transmembrane transport; transport across blood-brain barrier; xenobiotic detoxification by transmembrane export across the plasma membrane; xenobiotic metabolic process; xenobiotic transport across blood-brain barrier",0.030834941193461418
12,"O75173","Homo sapiens (Human)","CHEMBL2318","ENSG00000158859","ATS4_HUMAN","Patented target","4WKE",-8.2,"ADAMTS4","ADAMTS4;KIAA0688;UNQ769/PRO1563","extracellular matrix disassembly; extracellular matrix organization; proteolysis; skeletal system development",0.017363928258419037
13,"O43924","Homo sapiens (Human)","CHEMBL3860","ENSG00000156973","","","5X72",-10.2,"Phosphodiesterase 6D","PDE6D;PDED","response to stimulus; visual perception",0.01020626537501812
14,"Q92887","Homo sapiens (Human)","CHEMBL5748","ENSG00000023839","MRP2_HUMAN","Research target","Alphafold2",-7.3,"Canalicular multispecific organic anion transporter 1","ABCC2;CMOAT;CMOAT1;CMRP;MRP2","bile acid and bile salt transport; bilirubin transport; heme catabolic process; leukotriene transport; negative regulation of gene expression; transepithelial transport; transmembrane transport; transport across blood-brain barrier; xenobiotic export from cell; xenobiotic metabolic process; xenobiotic transmembrane transport; xenobiotic transport across blood-brain barrier",0.00784206110984087
15,"Q99500","Homo sapiens (Human)","CHEMBL3892","ENSG00000213694","S1PR3_HUMAN","Patented target","Alphafold2",-6.3,"Sphingosine 1-phosphate receptor Edg-3","S1PR3;C9orf108;C9orf47;EDG3","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; anatomical structure morphogenesis; G protein-coupled receptor signaling pathway; inflammatory response; negative regulation of establishment of endothelial barrier; Notch signaling pathway; positive regulation of cell population proliferation; positive regulation of cytosolic calcium ion concentration; regulation of interleukin-1 beta production",0.004424169193953276
16,"P08253","Homo sapiens (Human)","CHEMBL333","ENSG00000087245","MMP2_HUMAN","Research target;Patented target;Successful target","1GEN",-7.9,"Matrix metalloproteinase-2","MMP2;CLG4A","aging; angiogenesis; blood vessel maturation; bone trabecula formation; cellular response to amino acid stimulus; cellular response to estradiol stimulus; cellular response to fluid shear stress; cellular response to interleukin-1; cellular response to reactive oxygen species; cellular response to UV-A; collagen catabolic process; embryo implantation; endodermal cell differentiation; ephrin receptor signaling pathway; extracellular matrix disassembly; extracellular matrix organization; face morphogenesis; heart development; intramembranous ossification; luteinization; macrophage chemotaxis; negative regulation of cell adhesion; negative regulation of vasoconstriction; ovarian follicle development; ovulation from ovarian follicle; parturition; peripheral nervous system axon regeneration; positive regulation of apoptotic process; positive regulation of cell migration; positive regulation of vascular associated smooth muscle cell proliferation; prostate gland epithelium morphogenesis; protein catabolic process; protein metabolic process; proteolysis; response to activity; response to amyloid-beta; response to electrical stimulus; response to estrogen; response to hydrogen peroxide; response to hyperoxia; response to hypoxia; response to mechanical stimulus; response to nicotine; response to retinoic acid; response to xenobiotic stimulus; tissue remodeling",0.003970955032855272
17,"P10635","Homo sapiens (Human)","CHEMBL289","ENSG00000100197","CP2D6_HUMAN","Successful target","4XRY",-7.6,"Cytochrome P450 2D6","CYP2D6;CYP2DL1","alkaloid catabolic process; alkaloid metabolic process; arachidonic acid metabolic process; cholesterol metabolic process; coumarin metabolic process; estrogen metabolic process; heterocycle metabolic process; isoquinoline alkaloid metabolic process; long-chain fatty acid biosynthetic process; monoterpenoid metabolic process; negative regulation of binding; negative regulation of cellular organofluorine metabolic process; oxidative demethylation; retinol metabolic process; steroid metabolic process; xenobiotic catabolic process; xenobiotic metabolic process",0.002877678954973817
18,"Q13393","Homo sapiens (Human)","CHEMBL2536","ENSG00000075651","PLD1_HUMAN","Patented target","6U8Z",-7.7,"Phospholipase D1","PLD1","chemotaxis; inositol lipid-mediated signaling; phosphatidic acid biosynthetic process; phospholipid catabolic process; positive regulation of translation; Ras protein signal transduction; regulation of microvillus assembly; regulation of synaptic vesicle cycle; regulation of vesicle-mediated transport; small GTPase mediated signal transduction",0.002352803247049451
19,"P08254","Homo sapiens (Human)","CHEMBL283","ENSG00000149968","MMP3_HUMAN","Research target;Patented target","1CAQ",-7.7,"Matrix metalloproteinase 3","MMP3;STMY1","cellular response to nitric oxide; cellular response to UV-A; collagen catabolic process; extracellular matrix disassembly; extracellular matrix organization; innate immune response; negative regulation of hydrogen peroxide metabolic process; positive regulation of oxidative stress-induced cell death; positive regulation of protein-containing complex assembly; proteolysis; regulation of neuroinflammatory response; response to amyloid-beta",0.0021224752999842167
20,"Q07002","Homo sapiens (Human)","CHEMBL5316","ENSG00000117266","CDK18_HUMAN","Research target","Alphafold2",-7.2,"Serine/threonine-protein kinase PCTAIRE-3","CDK18;PCTAIRE3;PCTK3","protein phosphorylation; regulation of transcription involved in G1/S transition of mitotic cell cycle",0.001446675742045045
21,"P42685","Homo sapiens (Human)","CHEMBL4223","ENSG00000111816","","","Alphafold2",-6.4,"Tyrosine-protein kinase FRK","FRK;PTK5;RAK","cell differentiation; innate immune response; negative regulation of transcription by RNA polymerase II; protein phosphorylation; transmembrane receptor protein tyrosine kinase signaling pathway",0.0013297118712216616
22,"P03956","Homo sapiens (Human)","CHEMBL332","ENSG00000196611","MMP1_HUMAN","Successful target","1CGL",-7.2,"Matrix metalloproteinase-1","MMP1;CLG","cellular response to UV-A; collagen catabolic process; extracellular matrix disassembly; extracellular matrix organization; positive regulation of protein-containing complex assembly; protein metabolic process; proteolysis",0.0012851934880018234
23,"P9WNP5","Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)","CHEMBL1275214","","","","4QIJ",-8.0,"1,4-Dihydroxy-2-naphthoyl-CoA synthase","menB;Rv0548c","menaquinone biosynthetic process; protein hexamerization",0.0008531647617928684
24,"P14780","Homo sapiens (Human)","CHEMBL321","ENSG00000100985","MMP9_HUMAN","Clinical Trial target;Patented target;Research target","2OW1",-8.1,"Matrix metalloproteinase 9","MMP9;CLG4B","apoptotic process; cell migration; cellular response to cadmium ion; cellular response to reactive oxygen species; cellular response to UV-A; collagen catabolic process; embryo implantation; endodermal cell differentiation; ephrin receptor signaling pathway; extracellular matrix disassembly; extracellular matrix organization; macrophage differentiation; negative regulation of apoptotic process; negative regulation of cation channel activity; negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway; negative regulation of epithelial cell differentiation involved in kidney development; negative regulation of intrinsic apoptotic signaling pathway; positive regulation of apoptotic process; positive regulation of DNA binding; positive regulation of epidermal growth factor receptor signaling pathway; positive regulation of keratinocyte migration; positive regulation of protein phosphorylation; positive regulation of receptor binding; positive regulation of release of cytochrome c from mitochondria; positive regulation of vascular associated smooth muscle cell proliferation; proteolysis; regulation of neuroinflammatory response; response to amyloid-beta; skeletal system development",0.0008490332402288914
25,"P21453","Homo sapiens (Human)","CHEMBL4333","ENSG00000170989","S1PR1_HUMAN","Successful target","3V2W",-2.4,"Sphingosine 1-phosphate receptor Edg-1","S1PR1;CHEDG1;EDG1","actin cytoskeleton reorganization; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; angiogenesis; blood vessel maturation; brain development; cardiac muscle tissue growth involved in heart morphogenesis; cell adhesion; cell migration; cell population proliferation; chemotaxis; endothelial cell differentiation; G protein-coupled receptor signaling pathway; heart trabecula morphogenesis; lamellipodium assembly; leukocyte chemotaxis; negative regulation of stress fiber assembly; neuron differentiation; positive regulation of cell migration; positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway; positive regulation of GTPase activity; positive regulation of positive chemotaxis; positive regulation of smooth muscle cell proliferation; positive regulation of transcription by RNA polymerase II; regulation of bone mineralization; regulation of bone resorption; regulation of cell adhesion; sphingosine-1-phosphate receptor signaling pathway; T cell migration; transmission of nerve impulse",0.0006306036375463009
26,"P31153","Homo sapiens (Human)","CHEMBL3313835","ENSG00000168906","METK2_HUMAN","Clinical Trial target","5UGH",-10.0,"S-adenosylmethionine synthase isoform type-2","MAT2A;AMS2;MATA2","cellular response to leukemia inhibitory factor; one-carbon metabolic process; protein heterooligomerization; protein hexamerization; S-adenosylmethionine biosynthetic process",0.0005004670238122344
27,"P45452","Homo sapiens (Human)","CHEMBL280","ENSG00000137745","MMP13_HUMAN","Clinical Trial target","1XUR",-8.9,"Matrix metalloproteinase 13","MMP13","bone mineralization; bone morphogenesis; collagen catabolic process; endochondral ossification; extracellular matrix disassembly; extracellular matrix organization; growth plate cartilage development; proteolysis; response to amyloid-beta",0.0004795597633346915
28,"P19793","Homo sapiens (Human)","CHEMBL2061","ENSG00000186350","RXRA_HUMAN","Successful target","3H0A",-8.6,"Retinoid X receptor alpha","RXRA;NR2B1","anatomical structure development; cell differentiation; hormone-mediated signaling pathway; mRNA transcription by RNA polymerase II; negative regulation of transcription by RNA polymerase II; peroxisome proliferator activated receptor signaling pathway; positive regulation of bone mineralization; positive regulation of cholesterol efflux; positive regulation of DNA-templated transcription; positive regulation of thyroid hormone mediated signaling pathway; positive regulation of transcription by RNA polymerase II; positive regulation of transporter activity; positive regulation of vitamin D receptor signaling pathway; response to retinoic acid; retinoic acid receptor signaling pathway",0.00038911227602511644
29,"P22894","Homo sapiens (Human)","CHEMBL4588","ENSG00000118113","MMP8_HUMAN","Clinical Trial target","1JAO",-6.7,"Matrix metalloproteinase 8","MMP8;CLG1","collagen catabolic process; endodermal cell differentiation; extracellular matrix disassembly; extracellular matrix organization; negative regulation of gene expression; negative regulation of interleukin-10 production; positive regulation of DNA binding; positive regulation of gene expression; positive regulation of interleukin-6 production; positive regulation of JNK cascade; positive regulation of MAPK cascade; positive regulation of microglial cell activation; positive regulation of neuroinflammatory response; positive regulation of NIK/NF-kappaB signaling; positive regulation of nitric oxide biosynthetic process; positive regulation of reactive oxygen species biosynthetic process; positive regulation of tumor necrosis factor production; proteolysis; regulation of microglial cell activation; regulation of neuroinflammatory response",0.0002934374788310379
30,"Q15465","Homo sapiens (Human)","CHEMBL5602","ENSG00000164690","SHH_HUMAN","Research target","6PJV",-5.9,"Sonic hedgehog protein","SHH","alpha-beta T cell differentiation; alpha-tubulin acetylation; androgen metabolic process; animal organ formation; apoptotic signaling pathway; artery development; axon guidance; Bergmann glial cell differentiation; blood coagulation; branching involved in blood vessel morphogenesis; branching involved in salivary gland morphogenesis; branching involved in ureteric bud morphogenesis; branching morphogenesis of an epithelial tube; bud outgrowth involved in lung branching; camera-type eye development; canonical Wnt signaling pathway; CD4-positive or CD8-positive, alpha-beta T cell lineage commitment; cell development; cell fate specification; cell-cell signaling; cellular response to lithium ion; central nervous system development; cerebellar granule cell precursor proliferation; determination of left/right asymmetry in lateral mesoderm; dopaminergic neuron differentiation; dorsal/ventral neural tube patterning; dorsal/ventral pattern formation; ectoderm development; embryonic digestive tract morphogenesis; embryonic digit morphogenesis; embryonic foregut morphogenesis; embryonic forelimb morphogenesis; embryonic hindlimb morphogenesis; embryonic limb morphogenesis; embryonic pattern specification; embryonic skeletal system development; endocytosis; epithelial cell proliferation involved in prostate gland development; epithelial cell proliferation involved in salivary gland morphogenesis; epithelial-mesenchymal signaling involved in prostate gland development; establishment of epithelial cell polarity; forebrain development; formation of anatomical boundary; hair follicle morphogenesis; heart development; heart looping; hindbrain development; hindgut morphogenesis; inner ear development; intein-mediated protein splicing; intermediate filament organization; left lung development; limb bud formation; lung development; lung epithelium development; lung lobe morphogenesis; lung-associated mesenchyme development; lymphoid progenitor cell differentiation; male genitalia development; mesenchymal cell apoptotic process; mesenchymal cell proliferation involved in lung development; mesenchymal smoothened signaling pathway involved in prostate gland development; metanephric collecting duct development; metanephric mesenchymal cell proliferation involved in metanephros development; metanephros development; midbrain development; myoblast differentiation; negative regulation of alpha-beta T cell differentiation; negative regulation of apoptotic process; negative regulation of canonical Wnt signaling pathway; negative regulation of cell differentiation; negative regulation of cell migration; negative regulation of cholesterol efflux; negative regulation of dopaminergic neuron differentiation; negative regulation of gene expression; negative regulation of kidney smooth muscle cell differentiation; negative regulation of mesenchymal cell apoptotic process; negative regulation of proteasomal ubiquitin-dependent protein catabolic process; negative regulation of protein binding; negative regulation of T cell differentiation in thymus; negative regulation of T cell proliferation; negative regulation of transcription by RNA polymerase II; negative regulation of transcription elongation by RNA polymerase II; negative regulation of ureter smooth muscle cell differentiation; negative thymic T cell selection; neural crest cell migration; neuroblast proliferation; neuron fate commitment; odontogenesis of dentin-containing tooth; oligodendrocyte development; oligodendrocyte differentiation; osteoblast development; pancreas development; pattern specification process; polarity specification of anterior/posterior axis; positive regulation of alpha-beta T cell differentiation; positive regulation of astrocyte differentiation; positive regulation of cell division; positive regulation of cell population proliferation; positive regulation of DNA-templated transcription; positive regulation of epithelial cell proliferation involved in prostate gland development; positive regulation of gene expression; positive regulation of hh target transcription factor activity; positive regulation of immature T cell proliferation in thymus; positive regulation of kidney smooth muscle cell differentiation; positive regulation of mesenchymal cell proliferation involved in ureter development; positive regulation of neuroblast proliferation; positive regulation of oligodendrocyte differentiation; positive regulation of protein import into nucleus; positive regulation of sclerotome development; positive regulation of skeletal muscle cell proliferation; positive regulation of skeletal muscle tissue development; positive regulation of smoothened signaling pathway; positive regulation of striated muscle cell differentiation; positive regulation of T cell differentiation in thymus; positive regulation of transcription by RNA polymerase II; positive regulation of ureter smooth muscle cell differentiation; positive regulation of Wnt signaling pathway; positive thymic T cell selection; primary prostatic bud elongation; prostate epithelial cord elongation; prostate gland development; protein autoprocessing; protein import into nucleus; regulation of cell population proliferation; regulation of glial cell proliferation; regulation of mesenchymal cell proliferation involved in prostate gland development; regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry; regulation of odontogenesis; regulation of prostatic bud formation; regulation of protein localization to nucleus; regulation of proteolysis; regulation of stem cell proliferation; right lung development; roof of mouth development; salivary gland cavitation; self proteolysis; skeletal muscle cell proliferation; skeletal muscle fiber differentiation; smooth muscle tissue development; smoothened signaling pathway; smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation; somite development; spinal cord dorsal/ventral patterning; spinal cord motor neuron differentiation; stem cell development; stem cell proliferation; striated muscle tissue development; T cell differentiation in thymus; T cell proliferation; telencephalon regionalization; thalamus development; thymus development; thyroid gland development; trachea morphogenesis; tracheoesophageal septum formation; trunk neural crest cell migration; vasculogenesis; ventral midline development",0.0002436706272419542
31,"Q9ULZ9","Homo sapiens (Human)","CHEMBL2937","ENSG00000198598","MMP17_HUMAN","Research target","Alphafold2",-6.7,"Matrix metalloproteinase 17","MMP17;MT4MMP","collagen catabolic process; drinking behavior; extracellular matrix organization; kidney development; proteolysis",0.00021338625811040401
32,"Q9NS67","Homo sapiens (Human)","CHEMBL4523923","ENSG00000170837","","","Alphafold2",-7.1,"Probable G-protein coupled receptor 27","GPR27;SREB1","positive regulation of insulin secretion involved in cellular response to glucose stimulus; positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway; signal transduction",0.00021232137805782259
33,"P13726","Homo sapiens (Human)","CHEMBL4081","ENSG00000117525","TF_HUMAN","Clinical Trial target","1UJ3",-6.2,"Coagulation factor III","F3","activation of blood coagulation via clotting cascade; activation of cysteine-type endopeptidase activity involved in apoptotic process; activation of plasma proteins involved in acute inflammatory response; blood coagulation; blood coagulation, extrinsic pathway; blood coagulation, fibrin clot formation; blood coagulation, intrinsic pathway; positive regulation of angiogenesis; positive regulation of cell migration; positive regulation of endothelial cell proliferation; positive regulation of gene expression; positive regulation of interleukin-8 production; positive regulation of platelet-derived growth factor receptor signaling pathway; positive regulation of positive chemotaxis; positive regulation of protein kinase B signaling; protein processing; proteolysis; response to wounding",0.0001955752813955769
34,"P05198","Homo sapiens (Human)","CHEMBL1255131","ENSG00000134001","","","1KL9",-5.8,"Eukaryotic translation initiation factor 2 subunit 1","EIF2S1;EIF2A","aging; cellular response to amino acid starvation; cellular response to heat; cellular response to oxidative stress; cellular response to UV; negative regulation of guanyl-nucleotide exchange factor activity; negative regulation of translational initiation in response to stress; PERK-mediated unfolded protein response; positive regulation of neuron death; positive regulation of type B pancreatic cell apoptotic process; protein autophosphorylation; regulation of translation in response to endoplasmic reticulum stress; regulation of translational initiation in response to stress; response to endoplasmic reticulum stress; response to manganese-induced endoplasmic reticulum stress; stress granule assembly; translational initiation",0.00019513122970238328
35,"Q9H228","Homo sapiens (Human)","CHEMBL2274","ENSG00000180739","S1PR5_HUMAN","Clinical Trial target","Alphafold2",-6.6,"Sphingosine 1-phosphate receptor Edg-8","S1PR5;EDG8","regulation of neuron differentiation",0.00018429610645398498
36,"Q9NZJ5","Homo sapiens (Human)","CHEMBL6030","ENSG00000172071","E2AK3_HUMAN","Patented target;Research target","4G34",-7.7,"Eukaryotic translation initiation factor 2-alpha kinase 3","EIF2AK3;PEK;PERK","activation of cysteine-type endopeptidase activity involved in apoptotic process; angiogenesis; bone mineralization; calcium-mediated signaling; cellular response to amino acid starvation; cellular response to cold; cellular response to glucose starvation; chondrocyte development; eiF2alpha phosphorylation in response to endoplasmic reticulum stress; endocrine pancreas development; endoplasmic reticulum organization; endoplasmic reticulum unfolded protein response; ER overload response; insulin-like growth factor receptor signaling pathway; negative regulation of myelination; negative regulation of translation; negative regulation of translation in response to stress; negative regulation of translational initiation in response to stress; ossification; peptidyl-serine phosphorylation; PERK-mediated unfolded protein response; positive regulation of gene expression; positive regulation of protein localization to nucleus; positive regulation of transcription by RNA polymerase I; positive regulation of vascular endothelial growth factor production; protein autophosphorylation; protein phosphorylation; regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation; regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway; regulation of translational initiation by eIF2 alpha phosphorylation; response to endoplasmic reticulum stress; response to manganese-induced endoplasmic reticulum stress; skeletal system development",0.0001836472365539521
37,"Q8TDS5","Homo sapiens (Human)","CHEMBL1628461","","OXER1_HUMAN","Research target","Alphafold2",-5.9,"Oxoeicosanoid receptor 1","OXER1;GPR170;TG1019","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; G protein-coupled receptor signaling pathway",0.00016949056589510292
38,"P14672","Homo sapiens (Human)","CHEMBL5874","ENSG00000181856","GLUT4_HUMAN","Clinical Trial target","Alphafold2",-6.4,"Solute carrier family 2, facilitated glucose transporter member 4","SLC2A4;GLUT4","amylopectin biosynthetic process; brown fat cell differentiation; carbohydrate metabolic process; cellular response to hypoxia; cellular response to insulin stimulus; cellular response to osmotic stress; cellular response to tumor necrosis factor; dehydroascorbic acid transport; glucose homeostasis; glucose import; glucose import in response to insulin stimulus; glucose transmembrane transport; learning or memory; long-term memory; positive regulation of brain-derived neurotrophic factor receptor signaling pathway; regulation of synaptic vesicle budding from presynaptic endocytic zone membrane; response to ethanol; short-term memory; transport across blood-brain barrier; white fat cell proliferation",0.00015840404375921935
