Symbol,log2FoldChange,pvalue
LYPLA2,0.254001881,3.77216170412238e-05
RABL2A,0.321063524,3.83356681192368e-05
ZNF862,0.247574571,3.83604018502359e-05
EFNA3,0.217580179,3.99981803850834e-05
DGCR6L,-0.245356345,3.99993381244986e-05
TESC,-0.696715369,4.00761302062267e-05
ATXN7,0.292686548,4.01947874232276e-05
RHBDD2,0.27871869,4.09839631894769e-05
ZNF24,0.286247298,4.14430413137972e-05
TP53BP1,0.269058,4.17606599944936e-05
PSME3IP1,0.261079667,4.19209096025771e-05
DCP1A,0.248165048,4.43268507132761e-05
U2AF1L4,0.302375833,4.43289771073902e-05
LMLN,0.329231274,4.4624247491288e-05
GGT7,0.281534393,4.47427595971161e-05
RANBP3,0.210741595,4.47950232980355e-05
TNFAIP8L2-SCNM1,0.256885607,4.49875285210402e-05
ESS2,0.246193417,4.50242529809429e-05
GRM7,-0.236549345,4.54222100793903e-05
HINFP,0.25764481,4.64849991742343e-05
LDB1,0.205185833,4.65147786598842e-05
RNF31,0.264853024,4.73894332180151e-05
ARRDC1-AS1,0.35815169,4.76161229390579e-05
CLPSL2,-0.274511083,4.8595170362777e-05
HMGB3P1,-0.181354774,4.91050891436443e-05
MYBBP1A,0.244511821,4.91639117523445e-05
DDX41,0.337282393,4.9191501175313e-05
CYTH4,0.248775119,5.00646392674577e-05
EIF4A3,0.330031536,5.08021147883422e-05
MAP3K12,0.263286333,5.13283339312163e-05
GRN,0.387903214,5.58276806303056e-05
MAN1C1,0.282171036,5.69716424862512e-05
TRAPPC12,0.228842929,5.81722971712908e-05
R3HDM2,0.230322333,5.84108265304006e-05
MEPCE,0.217660976,5.94334171579279e-05
PHYKPL,0.268428881,5.96128201669688e-05
SMYD5,0.317924012,6.01727111703284e-05
TUSC2,0.233380321,6.01841929595239e-05
FYB1,-0.542879869,6.02757945448907e-05
NIPSNAP1,0.260044226,6.08116313721514e-05
EDEM1,0.246082083,6.12418869896332e-05
CIRBP,0.288111548,6.19154842339485e-05
LPCAT3,0.380103095,6.27236412529377e-05
RBM14,0.313237667,6.35896140100042e-05
NFKBID,0.229624655,6.3593247046211e-05
PLAC4,-0.248498726,6.40519666199502e-05
TERC,-0.452793286,6.4519003131994e-05
SERF2-C15ORF63,-0.269263952,6.48008233389381e-05
KAT5,0.245044107,6.50040351849391e-05
CD4,0.63221581,6.58776046776921e-05
STAT5A,0.320087286,6.61979850055012e-05
PI4KA,0.315237429,6.6480617658086e-05
GNG2,-0.503484976,6.65293714861497e-05
PTCHD4,-0.285021393,6.66273553007517e-05
HARS1,0.377274881,6.88464090762674e-05
POGZ,0.21781606,6.88620994172212e-05
FOXM1,-0.24219644,6.9277234025219e-05
MON1B,0.290684726,7.0125623975054e-05
ATG13,0.234133131,7.14367684743386e-05
C11orf87,-0.252572643,7.19939336892164e-05
CFP,0.368427738,7.39483749627323e-05
TMEM234,0.328229429,7.4061313930517e-05
TMEM258,0.498838417,7.45050001773068e-05
ZXDC,0.270467214,7.70916829266998e-05
XAB2,0.27227994,7.77834876185794e-05
DCUN1D1,-0.617506524,7.98582628422049e-05
SMAD4,0.172122286,8.01033160863599e-05
CD151,0.77669831,8.07304838831477e-05
PIP4K2C,0.279872214,8.12762613286277e-05
SIGMAR1,0.227911405,8.1392222184628e-05
ANGPT2,-0.216082238,8.29093900958492e-05
MAVS,0.213443464,8.55065868545824e-05
SETDB1,0.241451119,8.68977516288228e-05
CLEC10A,0.369755417,8.82772544811753e-05
PRKCA,0.664281786,8.99409923365251e-05
CDK10,0.245546464,9.01227971955191e-05
CFAP43,-0.17230669,9.14452022447301e-05
ETV3,0.191581452,9.26370312889895e-05
SMIM7,0.347754774,9.28801099949824e-05
ACRBP,0.261262726,9.32723701446243e-05
PPP2R5E,-0.163099167,9.5339115061617e-05
STK36,0.223153988,9.59099539711843e-05
GLRX5,-0.43705,9.59460525893589e-05
PEPD,0.566242155,9.65288653052957e-05
PAPPA,-0.195667083,9.76415734724575e-05
CCDC159,0.355713083,9.79570312399112e-05
WASF2,-0.340039929,9.82370973483441e-05
BCS1L,0.30596125,9.83439379708034e-05
CCDC115,0.244947524,9.90056432635547e-05
SUN2,0.308440571,9.91056357524106e-05
PGK1,0.249534524,9.96617315392547e-05
NME6,0.247832845,9.96850849442235e-05
C17orf99,-0.29261081,9.99743465231167e-05
KAT7,0.232833071,0.000100363
ZBTB9,0.320398214,0.000101081
DDX53,-0.330876226,0.000101879
ADH4,-0.228653571,0.000103966
KIF20A,-0.271858,0.00010438
ZNF263,0.28805019,0.000104642
GABPA,-0.186250345,0.000106505
HSH2D,0.52129144,0.000106667
CORO1A,0.225315714,0.000108325
PCIF1,0.219410214,0.000109192
MECP2,0.216060726,0.000109998
C19orf48P,0.188440512,0.000113198
KCTD5,0.20268169,0.000113842
MIR664B,0.364247583,0.000113855
VPS39,0.264131452,0.000114178
AAMP,0.294639381,0.000116583
DMRTA1,-0.259072536,0.000117908
ETV6,0.303720595,0.000118105
IPCEF1,0.27827406,0.0001185
HRCT1,-0.23574394,0.00011854
SRPRA,0.245520357,0.00011877
IKZF5,0.272672095,0.000120896
C1QL4,-0.287200917,0.000121244
RAD54L2,0.327434298,0.000121323
LINC00477,-0.242502167,0.000121594
PITPNA,0.286241429,0.000123033
ZNF384,0.193459048,0.000123237
FAM24A,-0.222023714,0.000123479
MSX2P1,0.277374476,0.000123483
C6orf136,0.22574019,0.000124407
TMEM121,-0.220424333,0.000125137
CSDE1,-0.217962143,0.000125216
HOXA7,-0.223784643,0.000125587
AAR2,0.370175643,0.000126317
C6orf47,0.297818869,0.000126423
ZSCAN5A,-0.201913238,0.000126662
ARRDC1,0.233939857,0.000126717
RSPO1,-0.190081512,0.000129228
KCNMB1,0.424268357,0.000131502
SGSH,0.361149655,0.000131526
WDR55,0.213841452,0.000131561
ARFIP2,0.255944012,0.000131969
DXO,0.186777857,0.000132979
LEMD2,0.149330607,0.000135649
SUMF1,0.225757,0.000136284
UBXN1,0.180363155,0.000136356
NKIRAS2,0.309765488,0.000136883
GPX1,-0.618136429,0.000137406
TF,-0.21744844,0.000137477
HS3ST6,-0.271899036,0.000137509
FGFR1OP2,-0.421002512,0.000137928
COLGALT1,0.275332298,0.000138326
STAMBP,0.203243667,0.000138591
PSMB4,0.28709125,0.000138753
RABGGTA,0.269073012,0.000138757
KICS2,0.31183544,0.000139293
TCEANC2,0.214509226,0.000140702
NFATC2IP,0.326960226,0.000140721
DGKA,0.479464321,0.000141457
BUD13,0.182352929,0.000142463
PRY2,-0.25745556,0.000143659
SCYL3,0.27052425,0.00014424
RARG,0.231283571,0.000145423
LENG8,0.301021345,0.000145679
LMF2,0.250109679,0.000146793
CHRNB4,-0.302066179,0.000151019
TINF2,0.183689881,0.000151259
RFWD3,0.249032119,0.000151311
MEF2D,0.253715643,0.000151479
TBC1D13,0.23413656,0.00015179
APEH,0.197286488,0.000154421
HAAO,0.194998583,0.000155518
LDLRAP1,0.542046333,0.000156325
STARD7-AS1,0.317355667,0.000158027
VPS33B,0.272799881,0.000159582
H2BC13,-0.332764536,0.000160345
PLEKHO2,0.35474681,0.000160484
NUMA1,0.272122833,0.000165568
MED1,0.292788726,0.000165647
H3C3,-0.264124048,0.00016684
TUBB2B,-0.23737656,0.000167841
GORASP1,0.297121155,0.000167889
DGKI,-0.178339607,0.000171541
CTNNAL1,-0.864701429,0.000171845
SFXN3,0.303574167,0.0001725
KLHL36,0.238893917,0.000173554
AGO1,0.24588581,0.000173813
RNF220,0.244207929,0.000173898
RMND5B,0.236752333,0.000174312
ZNF317,0.232322,0.000174757
DUSP16,0.291593071,0.000175198
GOSR1,0.249077488,0.000176559
TXN2,0.322425488,0.000176703
FRS3,0.172969274,0.000179012
NHEJ1,0.341679869,0.000179957
TADA2B,0.22793075,0.000181223
VIPAS39,0.265190786,0.000181578
GSTM2P1,-0.249859083,0.000181971
CNFN,-0.190520655,0.000182132
TBL2,0.245590869,0.00018219
HGSNAT,0.319209083,0.000183207
PPARD,0.198056929,0.000184213
TAFAZZIN,0.194188095,0.000185416
GARIN5B,-0.22617656,0.000191758
FOXK2,0.188713083,0.000192377
SCAMP2,0.225417857,0.000198347
PCYOX1L,0.222763167,0.000198829
GULP1,-0.17568194,0.000199676
CALB1,-0.284124464,0.000203088
ZNF512B,-0.20258969,0.000203632
SLC8B1,0.277491786,0.000205501
JAK3,0.31692025,0.000208096
IKZF4,0.222746667,0.000208699
ECD,0.278558762,0.000208757
BORCS5,0.237938202,0.000209365
RAPGEF1,0.320067274,0.000209404
ZFAND2A,0.277011964,0.00020967
LOC440896,-0.23228719,0.000210069
CHST14,-0.263125583,0.000210903
RAB40AL,-0.218426643,0.000211999
SIGIRR,0.385003167,0.000216083
LRPAP1,0.2870875,0.000216607
CASP9,0.246736702,0.000216677
ACTR1B,0.282960583,0.000216923
PPP1R10,0.224206381,0.000217626
PRUNE1,0.366295762,0.000218608
ALYREF,0.569261798,0.000218826
CES4A,0.214137607,0.000219207
PRCC,0.230539643,0.000219527
UCP1,-0.221223417,0.000221175
CBLN4,-0.208895095,0.000221215
LRRC3,-0.224820107,0.000222728
SNORA5C,0.248883333,0.000223688
TIMD4,0.302091607,0.000225342
TSC22D1,0.29045325,0.000228704
AMMECR1L,0.230945667,0.000230965
RHOG,0.264027857,0.000235129
KBTBD11,-0.234620571,0.000235305
FAM162B,-0.205611345,0.000236802
ISY1-RAB43,0.482165845,0.000238567
MEA1,0.322217036,0.00023909
YJU2B,0.211635226,0.0002399
GSPT1,-0.489541548,0.000240407
BAZ2A,0.33055394,0.000241549
ARMCX5-GPRASP2,0.259899,0.000247814
TRIP12,-0.233527024,0.000249244
C12orf43,0.251022738,0.000250095
LINC00951,-0.199465929,0.000250659
CTC1,0.291876369,0.000250882
KTI12,0.27440925,0.00025227
EOLA1,0.20784625,0.00025244
AP1G2,0.279249226,0.000253231
PLD2,0.259574726,0.000255568
RANBP9,-0.265423988,0.000256668
BTNL9,-0.250608786,0.000257012
HAX1,0.452649262,0.000260429
PAGR1,0.2209485,0.000260925
HAND2,-0.227113381,0.000263565
FLJ30679,-0.204595833,0.000264375
ZNF697,-0.265022726,0.000264833
TMEM208,0.318190405,0.000266185
GCNT7,-0.214484452,0.000266603
RFT1,0.278968917,0.000267094
DALRD3,0.185612286,0.000268768
PLA2G2E,-0.226908393,0.000269436
DIRAS2,-0.256541369,0.000271958
FOLR2,0.327625631,0.000272191
TOE1,0.254091964,0.000272601
MORC2,0.407044464,0.000274435
FUBP3,0.22916256,0.000274447
EMD,0.342937131,0.000276601
ACAD9,0.400634488,0.000278077
TPP1,0.38857025,0.000281065
PLOD3,0.316823321,0.000281737
SDHAF2,0.187668774,0.000282424
TEX261,0.257531321,0.000283935
RUNDC1,0.221579119,0.000284296
ICAM1,0.346062083,0.00028479
THRA,0.228839405,0.000285737
CCDC113,-0.213429548,0.000286043
PAMR1,-0.230394536,0.000286423
SNX1,0.214999155,0.000288138
KDM8,0.273124167,0.000288202
SLX4,0.172621964,0.000291005
RHOT2,0.161429988,0.000294641
LOC100996763,0.230494286,0.000295037
KHDRBS1,0.208722452,0.000295274
SIX4,-0.250845774,0.000296835
FAM47B,-0.181323095,0.000298816
ZFYVE27,0.249934619,0.00029899
LCTL,-0.219996738,0.000300021
RREB1,0.178888619,0.000300477
TFIP11,0.260321226,0.000301277
ADRA2C,-0.26248594,0.000307836
OR4C16,-0.222465726,0.000308113
TTBK2,0.167523702,0.000308487
HUNK,-0.19320194,0.000309214
GID8,-0.320155036,0.000310787
CDAN1,0.176262155,0.000314086
STMN4,-0.25666419,0.00031573
DNAJC27,0.205366512,0.000315801
SNORD36B,0.654811179,0.000317112
B3GAT3,0.274718595,0.00032189
ITGAL,0.328570595,0.000323019
EDC4,0.2535565,0.000325053
MXRA8,-0.29726919,0.000330244
GPR132,0.285485595,0.000332077
SNRPD3,0.353576488,0.000332724
ZDHHC16,0.348853714,0.00033396
DNPEP,0.323134786,0.000334044
MFSD2B,-0.438865619,0.000335332
ANGEL1,0.326922714,0.000335998
DNAJC8,0.531235726,0.00033661
NUP214,0.199182833,0.000337186
PSTPIP1,0.214975155,0.000337981
LOC90768,-0.22126069,0.000338443
FAM110A,0.28089394,0.000342368
DBNL,0.257949143,0.000344856
FTSJ1,0.31142819,0.000347089
NIT1,0.277019893,0.000348201
CSF1R,0.447627,0.000348402
SENP3-EIF4A1,0.271917738,0.000349465
CYB5D1,0.176840917,0.000349923
BAP1,0.191455786,0.000351207
SCX,-0.29787706,0.000352215
ADAMTSL4,0.28255031,0.000352836
ADIG,-0.243447286,0.000353939
MEIG1,-0.168499429,0.000357273
NAA38,-0.254913917,0.00035753
NOL12,0.164823262,0.000357717
SH2D3C,0.283086679,0.000358957
STK11,-0.328685024,0.000359629
SLC22A24,-0.206140524,0.000359891
UCHL1,-0.23763506,0.000363363
PTDSS2,-0.149918857,0.00036416
CD2BP2,0.197804988,0.000364805
HMGB3,-0.288906774,0.000365033
G6PC3,0.361462679,0.000367652
ACP2,0.334433893,0.00037303
EIF1B,-0.453806821,0.000375377
DENND1C,0.23240919,0.000375447
ASB6,0.169796179,0.000378283
LOC642980,0.251368202,0.000378972
SLC16A13,0.329699536,0.000379174
TTYH3,0.37405669,0.000380634
SIGLEC7,0.327434905,0.000383282
MMS19,0.273953798,0.000385048
LTA,0.300573583,0.000385349
RPL28,0.235088274,0.000390098
MIR212,-0.267592917,0.000390654
OR5K2,-0.238278845,0.000390756
CEP164,0.183105262,0.000390891
SOX18,-0.269069238,0.00039201
P2RX5-TAX1BP3,0.466764274,0.000393701
SAP130,0.249088452,0.000393919
RING1,0.197334405,0.000394177
TTC29,-0.154896595,0.000395627
ZNF324,0.197048845,0.000396237
FAM222A-AS1,-0.204274524,0.000399457
TRAPPC9,0.266075429,0.000404476
CABP1,-0.215094226,0.00040636
SULT6B1,-0.180783202,0.000407921
SIRPG,0.53284181,0.000408082
CCDC97,0.20438619,0.000409577
URGCP-MRPS24,0.299631274,0.000410914
SYCN,-0.228938774,0.000413095
INTS15,0.20792456,0.00041361
MIR377,-0.14719394,0.000417941
KCTD12,0.320782214,0.000418974
OSBP,0.210624083,0.000422898
DOK3,0.348880714,0.000425388
VAX2,-0.240878262,0.000426148
PIGT,0.236458048,0.000427481
AATF,0.267157048,0.000428073
ZMIZ2,0.186996714,0.000428781
LZTR1,0.259233167,0.000429331
CDC42SE1,0.230566429,0.000433
ZNF688,0.17109506,0.000434013
SLC6A8,-0.405446714,0.000434522
RGS10,-0.442379726,0.000434614
TTC31,0.230204726,0.000437945
AHCY,0.188480631,0.00043947
ICAM3,0.325224286,0.000440115
GUK1,-0.505877381,0.000444642
ACY1,0.179984988,0.00044678
ST3GAL3,0.293483845,0.000447212
LOC439951,-0.277276476,0.000448969
POU3F1,-0.330152988,0.000449609
PRR18,-0.248890702,0.000449854
CHRAC1,0.270133762,0.000450807
CLRN2,-0.201596583,0.000451819
BRPF1,0.228074512,0.000453722
RASL12,-0.237694726,0.000457009
ACAD10,0.20319925,0.000459313
KCTD11,0.20385244,0.000460294
SNORA36C,0.364574929,0.00046054
TCL1B,-0.211674,0.000460878
SIDT2,0.492690286,0.000461659
KDM2A,0.236889869,0.000462929
SPIN3,0.326816464,0.000464904
ARID3B,0.242966393,0.000465759
HOXB1,-0.213638976,0.000466438
OGFOD1,0.431126452,0.000467117
F2RL2,-0.244060905,0.000467188
C3,0.406216202,0.00046785
CEP55,-0.280427905,0.000468544
PSMB6,0.532522071,0.000469787
JUNB,0.275831429,0.000472249
TMPRSS11A,-0.180184952,0.000472955
LOC101927830,0.333669155,0.000476099
PAGE3,-0.193681714,0.000477834
PRDM7,-0.26299619,0.000477944
SYNE3,0.17315269,0.000477971
LOC105370792,-0.2232425,0.000478394
FAM86HP,0.409251821,0.00047917
ZRANB1,-0.40137944,0.000479996
ULBP2,-0.271852833,0.000480857
SPOUT1,0.214296631,0.000481558
TTI2,0.26804119,0.000487321
C20orf144,-0.250633286,0.00048817
MAP3K11,0.25804225,0.000491982
CILK1,0.280169905,0.00049332
SLC27A6,-0.146590655,0.000494726
CRYAB,-0.25358831,0.000495055
H3C11,-0.557469821,0.000495606
FOXD1,-0.26882356,0.000496648
FOXQ1,-0.240843357,0.000497028
ZNF667-AS1,0.42224019,0.000497928
CIAO1,0.188255798,0.000498873
BFSP2,-0.238977786,0.000500098
NPTX1,-0.230570869,0.000500363
DCAF12L2,-0.258954976,0.000503497
TMEM191B,-0.223074702,0.00050363
RPS13,0.476412857,0.000503852
IGFLR1,0.233830929,0.000504351
PEX5,0.170655714,0.000507137
GPR150,-0.290769607,0.000509612
DDX23,0.260085143,0.000510546
RBM42,0.162917095,0.000513089
VPS26A,-0.270707679,0.000516333
ANP32B,-0.4885235,0.000516993
TSR3,-0.19781769,0.000517093
OS9,0.285565107,0.000523754
CLCN7,0.32197481,0.000523861
HYAL1,-0.169683893,0.000524458
CCDC69,0.188960321,0.000524551
CHAC2,-0.230717024,0.000525197
TMEM135,0.200150274,0.000529751
POPDC2,0.275812357,0.000532493
SLC12A4,0.200610452,0.000533275
SNX20,0.390850583,0.000539332
GRIN2D,-0.303187905,0.000540926
CSRP1,0.419241476,0.00054552
TRA2A,0.316415774,0.000546993
MGAT1,0.186096083,0.000548976
DIABLO,0.222413167,0.000550886
C2CD2L,0.22295019,0.000553476
IRF9,0.390458155,0.000553849
TOP3B,0.21562444,0.000555221
TFDP3,-0.210768917,0.000556445
TMEM200B,-0.228062464,0.000556523
DCAF7,0.291064417,0.000558361
DCAF5,0.2141975,0.000558664
COPG1,0.253899452,0.00055974
PDPR,0.52737625,0.000560904
CDC6,-0.25473356,0.000561531
RASL11B,-0.22857825,0.000562458
ZNF692,0.212382607,0.000563115
DCAKD,0.315619988,0.000564823
ZNF8,0.18104181,0.000567075
ZDHHC9,0.331728821,0.000567413
SSTR5-AS1,-0.345258881,0.00056762
ADCYAP1,-0.188671393,0.000571143
CCNE2,-0.298561429,0.000573071
KRTAP4-7,-0.327252143,0.000575299
GATD1,0.167943964,0.000575572
