"","Target","Similarity.x","Similarity.y","Similarity"
"98","Broad-Sai-045",-0.23566256,NA,-0.23138034
"99","BRD-K63494246",-0.23549561,NA,-0.25692425
"100","Tivantinib",-0.23518625,NA,NA
"101","BIM0133",-0.2347973,NA,-0.21859117
"102","CHEMBL1449448",-0.23470241,NA,-0.20732511
"103","Topiramate",-0.23455601,-0.2312766,-0.25900714
"104","BRD-K54335715",-0.23429344,NA,-0.21440083
"105","F3098-6208",-0.23400793,NA,NA
"106","BRD-K75145803",-0.23392132,NA,-0.24137952
"107","2-[(3-Carboxypropanoyl)amino]benzoic acid",-0.23360508,NA,-0.2615343
"108","SR57227A",-0.23325457,NA,-0.24958744
"109","MLS003271344",-0.23216859,NA,NA
"110","SCHEMBL14379041",-0.23211283,NA,NA
"111","SPECTRUM_000090",-0.23182923,NA,-0.21526622
"112","Elvitegravir",-0.23102501,NA,-0.2006456
"113","Lovastatin",-0.2308002,NA,NA
"114","Dipropyldopamine",-0.23062048,NA,NA
"115","Lenalidomide",-0.23044981,NA,NA
"116","SC-514",-0.22979294,NA,NA
"117","Tranilast",-0.22962977,NA,NA
"118","Isotretinoin",-0.22928996,-0.25164971,NA
"119","BRD-K65290386",-0.22866255,NA,NA
"120","atorvastatin",-0.22818594,NA,-0.32822424
"121","BRD-K30794866",-0.22816673,NA,NA
"122","GSK-J2",-0.22788601,NA,-0.21238419
"123","916985-21-2",-0.22757714,NA,NA
"124","Rita",-0.22729035,NA,NA
"125","D-64131",-0.2262954,NA,-0.23699307
"126","SU14813",-0.226281,NA,NA
"127","GW843682X",-0.22622599,NA,-0.23193971
"128","CHEMBL3185154",-0.22575619,NA,NA
"129","BRD-K55194575",-0.22570571,NA,NA
"130","Veliparib",-0.22569865,NA,-0.24956122
"131","AC1MJ3VH",-0.22560736,NA,-0.23605975
"132","Odq",-0.22537069,NA,NA
"133","Trichostatin A, Streptomyces Sp.",-0.22474636,NA,-0.27670675
"134","OSI-027",-0.22451136,NA,NA
"135","OSI-027",-0.22451136,NA,NA
"136","3-(6-Nitro-1,3-dioxo-1H-benzo[de]isoquinolin-2(3H)-yl)propanoic acid",-0.22449494,NA,NA
"137","4-(Trans-4-butylcyclohexyl)benzoic acid",-0.22423592,NA,-0.24280917
"138","SCHEMBL6851809",-0.22386524,NA,NA
"139","Busulfan",-0.22335681,NA,NA
"140","CHEMBL2143818",-0.22273273,NA,-0.2681337
"141","BRD-K65404805-001-01-6",-0.22238276,NA,-0.22938209
"142","BRN 1088757",-0.22235546,NA,NA
"143","Camptothecin",-0.22206733,NA,-0.25216758
"144","BRD-K47284302",-0.22205032,NA,NA
"145","BRD-K10087454",-0.22181841,NA,-0.24281828
"146","Eseroline",-0.22170886,NA,-0.22234067
"147","Dolasetron",-0.22162221,NA,-0.21780358
"148","Dolasetron",-0.22162221,NA,-0.21780358
"149","Dolasetron",-0.22162221,NA,-0.21780358
"150","Dolasetron",-0.22162221,NA,-0.21780358
"151","BRD-K26684619",-0.22154436,NA,NA
"152","BRD-K45785972",-0.22148397,NA,-0.23236545
"153","N-(2-Amino-phenyl)-nicotinamide",-0.22127098,NA,-0.23609161
"154","Miconazole",-0.22125383,NA,-0.22470928
"155","SMR000075319",-0.22092777,-0.21412708,NA
"156","HY-11007",-0.22061846,NA,-0.20380018
"157","BRD-K69936629",-0.22053236,NA,NA
"158","SA-1473405",-0.22037275,NA,-0.25618706
"159","Oxybenzone",-0.22016928,NA,-0.24507246
"160","Esmolol",-0.21990522,NA,-0.29971181
"161","BRD-K31427141",-0.21961245,-0.2337417,NA
"162","DHPC1_000782",-0.2193869,NA,NA
"163","BRD-K57166447",-0.21930061,NA,-0.30220042
"164","BRD-K69888333",-0.21924853,-0.20295445,NA
"165","SPECTRUM2_000920",-0.21917702,NA,-0.24992465
"166","BRD-M04224464",-0.21915757,NA,NA
"167","BRD-K45949967",-0.219086,NA,NA
"168","BRD-K01335708",-0.2189354,NA,-0.23212398
"169","BG-STK33-59",-0.21888776,NA,-0.24226307
"170","BRD-K81605832",-0.21883646,NA,NA
"171","BRD-K28040935",-0.2185341,NA,-0.2002945
"172","Icariin",-0.21848861,NA,-0.21337224
"173","6266-99-5",-0.2182884,NA,-0.26821659
"174","CHEMBL2144678",-0.21827435,NA,-0.28150908
"175","PF-04620110",-0.21823522,NA,-0.21573552
"176","GF-109203",-0.21820294,NA,-0.25418245
"177","Methylnorlichexanthone",-0.21801628,NA,-0.31526405
"178","Flubendazole",-0.21773663,NA,NA
"179","BRD-K85565420",-0.21750462,NA,-0.22523355
"180","AC1MEEHF",-0.21745492,NA,NA
"181","CHEMBL2135770",-0.21712731,NA,NA
"182","Rimonabant",-0.21681486,NA,-0.30242313
"183","PF431396",-0.21676082,-0.30031633,NA
"184","BRD-K37991633",-0.21657575,NA,NA
"185","Andrographolide",-0.21651816,NA,NA
"186","Fenbendazole",-0.21616383,NA,-0.29188267
"187","Liranaftate",-0.21613549,NA,NA
"188","BRD-A28746609",-0.21608786,NA,NA
"189","Olprinone (Hydrochloride)",-0.215913,NA,-0.23948948
"190","Meisoindigo",-0.21581931,NA,-0.21620077
"191","SGI-1776",-0.21562714,NA,NA
"192","Albendazole",-0.21540601,NA,NA
"193","448906-42-1",-0.21528483,NA,NA
"194","BRD-K24383920",-0.21485377,NA,-0.23222441
"195","CHEMBL2143681",-0.21483737,NA,-0.27354457
"196","C23H24CLN3O5",-0.21483361,NA,-0.2215477
"197","MLS000536845",-0.21478728,NA,NA
"198","BRD-K33676730",-0.21465615,-0.26439061,NA
"199","Palmidrol",-0.21447041,NA,NA
"200","SCHEMBL17783876",-0.21417627,-0.26357727,NA
"201","KW-2449",-0.21415417,NA,NA
"202","HDACi1,2+3_mix",-0.21409474,NA,-0.33251354
"203","Menadione",-0.21361595,NA,-0.21840282
"204","BRD-K80553643",-0.21357654,NA,NA
"205","AC1L2X6Z",-0.21343818,-0.24945825,NA
"206","Fluoxetine",-0.21343318,NA,NA
"207","MD-041",-0.21324417,NA,NA
"208","MLS001173269",-0.21303234,-0.23738307,NA
"209","Methantheline",-0.21287822,NA,-0.25349385
"210","BRD-K46692335",-0.21281511,NA,NA
"211","Diphenylpyraline",-0.21280561,NA,NA
"212","Vemurafenib",-0.21261436,NA,NA
"213","Vemurafenib",-0.21261436,NA,NA
"214","BL003-049-HDAC3",-0.21256063,-0.23465678,NA
"215","BMS 641988",-0.21233641,NA,-0.24050879
"216","Diflunisal",-0.21222843,NA,NA
"217","Naftifine",-0.21220944,NA,NA
"218","Tolazamide",-0.2121683,NA,-0.26891241
"219","BRD-K93845141",-0.21209884,NA,NA
"220","GSK-461364",-0.21164375,NA,NA
"221","MLS000038106",-0.21162176,NA,NA
"222","SR-03000001970",-0.21145801,NA,NA
"223","BRD-A35207501",-0.21122528,NA,NA
"224","BRD-K96433222-001-01-3",-0.21117774,NA,NA
"225","SR 33805 oxalate",-0.21045354,NA,NA
"226","Lamivudine",-0.21043724,NA,-0.21662994
"227","AC1M52QF",-0.21039855,NA,-0.2452811
"228","Idelalisib",-0.21024666,NA,NA
"229","AMSACRINE",-0.21013292,-0.29404372,-0.24771464
"230","Palmitoyl Carnitine",-0.21008583,NA,NA
"231","Genz-644282",-0.21000551,NA,-0.20428193
"232","Cabazitaxel",-0.20985915,NA,NA
"233","BRD-K98339888",-0.20973119,NA,-0.27695178
"234","Tipiracil (hydrochloride)",-0.20953278,NA,NA
"235","SB743921",-0.20952157,NA,NA
"236","BRD-K90970920",-0.20952099,NA,-0.22576095
"237","SCHEMBL2704865",-0.20930147,NA,-0.23147214
"238","Guanadrel",-0.20925238,NA,-0.26992595
"239","E319",-0.20888798,NA,NA
"240","Chloroquine",-0.20886328,-0.25334434,-0.25095628
"241","Valrubicin",-0.20883071,NA,NA
"242","Fluorouracil",-0.20877326,NA,-0.23968011
"243","MLS001207806",-0.20873175,NA,-0.20696167
"244","GSK-3 Inhibitor II",-0.20850432,NA,-0.27858504
"245","Midodrine",-0.20834531,NA,-0.27149243
"246","SA-1455822",-0.20833552,NA,-0.2239165
"247","PK04_096316",-0.20825504,NA,NA
"248","CX-4945 (Silmitasertib)",-0.20791812,NA,NA
"249","SA-1973507",-0.20772991,NA,NA
"250","AC1MEVG9",-0.20759718,NA,-0.22161583
"251","N-(3-Chloro-4-fluorophenyl)-5-(pyridin-4-yl)-1,3,4-thiadiazol-2-amine",-0.20726763,NA,NA
"252","2,2-Dichloro-n-[(1R,2S)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",-0.207262,NA,NA
"253","BRD-M91876180",-0.2072592,NA,NA
"254","SCHEMBL13991002",-0.20691841,NA,NA
"255","BI-2536",-0.20688966,NA,-0.22586121
"256","Ulipristal",-0.206814,NA,NA
"257","apigenin",-0.20665936,NA,-0.22504001
"258","Oligomycin A",-0.20660833,NA,-0.22615407
"259","BDBM79205",-0.20659353,NA,NA
"260","BRD-K74101931",-0.20657704,NA,NA
"261","BRD-K00566471",-0.20645152,NA,NA
"262","Rabusertib",-0.20644008,NA,NA
"263","ITK Inhibitor",-0.20623191,NA,NA
"264","CHEMBL2359916",-0.20601762,NA,NA
"265","CHEMBL3186197",-0.20596552,NA,NA
"266","3,5-Bis(4-methylbenzylidene)piperidin-4-one",-0.20591197,NA,-0.21220458
"267","3,5-Bis(4-methylbenzylidene)piperidin-4-one",-0.20591197,NA,-0.21220458
"268","3,5-Bis(4-methylbenzylidene)piperidin-4-one",-0.20591197,NA,-0.21220458
"269","3,5-Bis(4-methylbenzylidene)piperidin-4-one",-0.20591197,NA,-0.21220458
"270","Oxetane",-0.20581575,-0.20449923,NA
"271","BRD-K14171663",-0.20580194,NA,-0.22198758
"272","Lorazepam",-0.20573927,NA,-0.26496748
"273","Orphenadrine",-0.20573438,NA,-0.27040253
"274","DASA-58",-0.20551821,NA,-0.22131601
"275","LY2940680",-0.20527054,NA,-0.21659556
"276","BG-1024",-0.20508523,NA,NA
"277","BRD-K14395166",-0.20499512,NA,NA
"278","Cilnidipine",-0.20493845,NA,NA
"279","BRD-K52682771",-0.20493764,NA,NA
"280","BRD-M56188090",-0.20493231,NA,NA
"281","cucurbitacin-i",-0.20490441,NA,NA
"282","ST51024947",-0.20483049,NA,NA
"283","Isoliquiritigenin",-0.20478851,NA,NA
"284","Norketamine",-0.2047552,NA,NA
"285","Doxazosin",-0.20474461,NA,-0.23658065
"286","NVP-AEW541",-0.20410705,NA,-0.24923617
"287","Icillin",-0.20405997,NA,NA
"288","GSK-923295",-0.20381894,NA,NA
"289","AZD2014",-0.20375662,NA,NA
"290","Pranlukast",-0.20367489,NA,-0.30260777
"291","MW-SHH-61",-0.20366275,NA,-0.26210458
"292","ZINC03978045",-0.20359689,NA,-0.24331268
"293","CHEMBL349641",-0.20339426,NA,-0.24380309
"294","ABACAVIR SULFATE",-0.20268458,NA,NA
"295","T6704841",-0.20266446,NA,NA
"296","ST51005413",-0.20263445,NA,-0.21943819
"297","Iocetamic acid",-0.20222313,NA,NA
"298","Glyburide",-0.20217804,NA,-0.25644232
"299","STOCK1N-09285",-0.2020529,NA,NA
"300","BRD-K92741883",-0.20202934,NA,NA
"301","SKF-81297",-0.20201099,NA,-0.20297735
"302","Promethazine",-0.20192714,NA,-0.22834061
"303","ANISODAMINE HYDROBROMIDE",-0.2016592,NA,NA
"304","BRD-A81936046",-0.20165621,NA,NA
"305","GW3965",-0.20164108,NA,NA
"306","SMR000031368",-0.20137911,NA,-0.23496217
"307","MD-II-038",-0.20066531,NA,NA
"308","CHEMBL2381520",-0.2005432,NA,-0.20539212
"309","MLS002264440",NA,-0.43322772,NA
"310","Rimcazole",NA,-0.33544489,NA
"311","AKT Inhibitor IV",NA,-0.33280214,NA
"312","TAK-242",NA,-0.3295071,NA
"313","CAY10618",NA,-0.32879089,NA
"314","Urapidil",NA,-0.31340229,NA
"315","Cilostazol",NA,-0.30604809,NA
"316","STK178014",NA,-0.30232159,-0.22182583
"317","Desmopressin",NA,-0.29913392,NA
"318","R547",NA,-0.29832844,NA
"319","Vorinostat",NA,-0.2927482,-0.27740904
"320","GDC-0152",NA,-0.28975641,-0.27607819
"321","KUC104493",NA,-0.28970027,NA
"322","Kepone",NA,-0.28766429,NA
"323","Entinostat",NA,-0.28259514,NA
"324","Naphazoline",NA,-0.28154379,-0.2008762
"325","Pinaverium bromide",NA,-0.27933206,NA
"326","Curcumin",NA,-0.27727128,-0.25016477
"327","Doramapimod",NA,-0.27642048,NA
"328","Zosuquidar",NA,-0.2762054,-0.26113044
"329","Rebastinib",NA,-0.27505663,-0.20592123
"330","PF477736",NA,-0.2740762,NA
"331","Avasimibe",NA,-0.27323806,NA
"332","Cytarabine",NA,-0.27300851,-0.20491146
"333","Ridaforolimus (Deforolimus, MK-8669)",NA,-0.27115749,-0.21393377
"334","Bisoprolol",NA,-0.26959069,NA
"335","(-)-Tramadol",NA,-0.26957654,NA
"336","BRD-K01621458",NA,-0.26918418,NA
"337","CHEMBL1242477",NA,-0.26893153,NA
"338","JW 55",NA,-0.26859647,-0.23826486
"339","Genistein",NA,-0.26613726,NA
"340","Olaparib",NA,-0.26502856,-0.26086047
"341","Azithromycin",NA,-0.26453113,NA
"342","BAY 61-3606",NA,-0.26418713,NA
"343","Diazoxide",NA,-0.26249018,NA
"344","Loratadine",NA,-0.26121689,-0.21348986
"345","Cercosporin",NA,-0.26121223,NA
"346","BRD-K89185880",NA,-0.26070897,NA
"347","Penfluridol",NA,-0.26065043,NA
"348","SPOX1_002925",NA,-0.26057031,NA
"349","Picotamide",NA,-0.25846144,-0.21388107
"350","Atenolol",NA,-0.2583572,NA
"351","Coleoforsin",NA,-0.25704342,NA
"352","MGCD-265",NA,-0.25648633,NA
"353","GNF-PF-2272",NA,-0.25624684,NA
"354","Cyclosporin A",NA,-0.25451666,NA
"355","Cyclosporin A",NA,-0.25451666,NA
"356","Methiazole",NA,-0.25446536,NA
"357","Ruxolitinib",NA,-0.25224324,-0.26426115
"358","Fadrozole",NA,-0.25168278,NA
"359","CEFEPIME HYDROCHLORIDE",NA,-0.2515624,NA
"360","GW-5074",NA,-0.25106256,-0.21073544
"361","Bexarotene",NA,-0.25023599,NA
"362","Falnidamol",NA,-0.24992828,NA
"363","Manumycin-A",NA,-0.24964098,-0.2482045
"364","Pioglitazone",NA,-0.24936326,NA
"365","RO4987655",NA,-0.2490734,NA
"366","501919-59-1",NA,-0.24838591,NA
"367","GSK J4",NA,-0.24815661,NA
"368","KI-16425",NA,-0.24804499,NA
"369","Ethyl 1-benzyl-4,5-dioxopyrrolidine-3-carboxylate",NA,-0.24681169,NA
"370","ST013886",NA,-0.24652007,NA
"371","BRD-K60554389",NA,-0.24553469,NA
"372","BRD-K54343811",NA,-0.2451597,NA
"373","Aurora A Inhibitor I",NA,-0.24354355,-0.26694991
"374","MLS002264388",NA,-0.24074629,NA
"375","Panobinostat",NA,-0.24037449,-0.25558098
"376","Apatinib Hydrochloride",NA,-0.24000386,-0.22570191
"377","Thalidomide",NA,-0.23994895,-0.20983415
"378","Elesclomol",NA,-0.23927007,NA
"379","CHEMBL2131985",NA,-0.23837077,NA
"380","Aphidicolin",NA,-0.2382022,NA
"381","BRD-K95985487-001-01-3",NA,-0.23758439,-0.24860184
"382","Triflupromazine",NA,-0.23755198,NA
"383","Tamibarotene",NA,-0.23678415,NA
"384","Osimertinib",NA,-0.23669048,-0.21042463
"385","MEK162 (ARRY-162, ARRY-438162)",NA,-0.23661464,NA
"386","L-733060",NA,-0.23602424,NA
"387","JZL-184",NA,-0.23599794,-0.26105256
"388","WH-4025",NA,-0.23509048,NA
"389","Protriptyline",NA,-0.23365684,NA
"390","3,7-Bis(dimethylamino)phenothiazin-5-ium",NA,-0.23297439,-0.20836206
"391","Alvespimycin",NA,-0.23295875,NA
"392","SB-216763",NA,-0.23250785,-0.2326494
"393","Quisinostat",NA,-0.23241937,NA
"394","Quinoclamine",NA,-0.23171399,-0.2154288
"395","Avicin-D",NA,-0.23154929,NA
"396","BRD-K61779668",NA,-0.2310086,NA
"397","Cabozantinib",NA,-0.23082363,-0.20951117
"398","Rizatriptan",NA,-0.23066587,NA
"399","Suprofen",NA,-0.23027767,NA
"400","BRD-A25736793",NA,-0.23019632,NA
"401","L-690488",NA,-0.23009677,NA
"402","PDK1 Inhibitor",NA,-0.22949359,-0.21898256
"403","CHEMBL2361177",NA,-0.22936301,NA
"404","Secnidazole",NA,-0.22890211,-0.22563195
"405","Etoricoxib",NA,-0.22870748,NA
"406","Colforsin",NA,-0.22847803,NA
"407","Iloprost",NA,-0.22821158,NA
"408","MLS003221407",NA,-0.22808736,NA
"409","301836-43-1",NA,-0.22803968,NA
"410","STK-674938",NA,-0.22774893,NA
"411","Pracinostat",NA,-0.2274722,-0.22993537
"412","BRD-K72490684",NA,-0.22723014,NA
"413","Acyclovir",NA,-0.22717713,NA
"414","CHEMBL1550983",NA,-0.2266814,-0.20245384
"415","SMR001317659",NA,-0.22617997,NA
"416","Broad-Sai-560",NA,-0.22592251,-0.20707259
"417","Ricolinostat",NA,-0.22542431,NA
"418","EDOXUDINE",NA,-0.22487487,NA
"419","SCHEMBL14177979",NA,-0.22476198,NA
"420","BRD-K35638681",NA,-0.22467776,NA
"421","2-Chloro-n-(1-phenyl-3-propyl-1H-pyrazol-5-yl)acetamide",NA,-0.22442732,NA
"422","N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide",NA,-0.22386812,NA
"423","Gemcitabine",NA,-0.22382515,-0.2231111
"424","3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone",NA,-0.22274454,-0.22973007
"425","SCHEMBL16226068",NA,-0.22272797,NA
"426","ZK-93423",NA,-0.22250632,NA
"427","Selumetinib",NA,-0.2221139,NA
"428","SCHEMBL10061624",NA,-0.22196978,NA
"429","Azelastine",NA,-0.22136705,NA
"430","BRD-K11533227",NA,-0.22119554,NA
"431","RS-17053",NA,-0.2208095,NA
"432","Nicergoline",NA,-0.22046571,NA
"433","Nilotinib",NA,-0.21995445,-0.28847219
"434","RO-316233",NA,-0.2197667,NA
"435","Vinblastine",NA,-0.21971287,NA
"436","Vinblastine",NA,-0.21971287,NA
"437","Diphenoxylate",NA,-0.21930958,NA
"438","SA-85148",NA,-0.2191799,NA
"439","MLS001060802",NA,-0.2187713,NA
"440","AGK 2",NA,-0.21862017,NA
"441","Vitamin B12",NA,-0.21834837,NA
"442","1166227-08-2",NA,-0.21818703,NA
"443","AC1O9ZP5",NA,-0.21802964,NA
"444","BRD-K16329066-019-01-1",NA,-0.21802763,NA
"445","Hnha",NA,-0.21789139,NA
"446","BRD-K78787424",NA,-0.21700568,NA
"447","SB 239063",NA,-0.21664939,-0.24131365
"448","BRD-K05174693",NA,-0.21621173,NA
"449","Clopidogrel",NA,-0.21530737,NA
"450","CHEMBL436817",NA,-0.21528636,-0.20320076
"451","Agomelatine",NA,-0.21528256,NA
"452","Donepezil",NA,-0.21475183,NA
"453","Mocetinostat",NA,-0.21465569,NA
"454","BRD-K97101742",NA,-0.21454606,NA
"455","OSI-930",NA,-0.214529,NA
"456","Brompheniramine",NA,-0.21420668,NA
"457","Phenformin",NA,-0.21399472,-0.27630313
"458","INOSITOL",NA,-0.21397756,NA
"459","BRD-K05273600",NA,-0.21352645,NA
"460","Cediranib",NA,-0.21294687,NA
"461","SPECTRUM_001579",NA,-0.21272273,NA
"462","CI-1040",NA,-0.21195609,NA
"463","CHEMBL323994",NA,-0.2116299,NA
"464","XMD 8-92",NA,-0.21156418,-0.28960198
"465","TPCA-1",NA,-0.21152597,-0.20810427
"466","triptolide",NA,-0.21128834,NA
"467","Escitalopram",NA,-0.21121449,NA
"468","Tazarotene",NA,-0.211165,NA
"469","Dacinostat",NA,-0.2110179,-0.20190484
"470","Alpelisib",NA,-0.21097371,NA
"471","CHEMBL3188797",NA,-0.21068103,NA
"472","SB-203580",NA,-0.21026181,-0.22267592
"473","ICI 192,605",NA,-0.20982408,NA
"474","ICI 192,605",NA,-0.20982408,NA
"475","Clozapine",NA,-0.20931739,NA
"476","BRD-K76688030",NA,-0.20903368,NA
"477","TOFA",NA,-0.20845712,NA
"478","SCHEMBL15556278",NA,-0.20806132,-0.23002834
"479","Y-26763",NA,-0.20777845,NA
"480","CHEMBL2360603",NA,-0.2076127,NA
"481","Glycopyrrolate",NA,-0.20759831,NA
"482","3-Deazaadenosine",NA,-0.20756095,NA
"483","Calmidazolium",NA,-0.2075456,NA
"484","181144-66-1",NA,-0.20724692,NA
"485","AT-7519",NA,-0.20715541,NA
"486","Chlorambucil",NA,-0.20693692,-0.25302177
"487","Pterostilbene",NA,-0.20692322,NA
"488","Pterostilbene",NA,-0.20692322,NA
"489","Amuvatinib",NA,-0.2066962,-0.27247165
"490","MLS002264492",NA,-0.2066421,NA
"491","Levcromakalim",NA,-0.20614312,NA
"492","BRD-8899",NA,-0.20609221,NA
"493","MST-312",NA,-0.20596627,-0.22890627
"494","Bicalutamide",NA,-0.20583597,NA
"495","WYE 354",NA,-0.20554339,-0.21822637
"496","Prostratin",NA,-0.20513894,NA
"497","CHEMBL2362635",NA,-0.20500534,NA
"498","BRD-K55827386",NA,-0.20498498,NA
"499","amisulpride",NA,-0.20458502,NA
"500","Broad-Sai-443",NA,-0.20451149,NA
"501","CHEMBL2136735",NA,-0.20438775,NA
"502","MLS003128612",NA,-0.20419459,NA
"503","Tandutinib",NA,-0.20417091,NA
"504","Diethylcarbamazine",NA,-0.20409737,-0.21664389
"505","BRD-K01626010",NA,-0.20401131,NA
"506","Rucaparib",NA,-0.20378628,-0.26564902
"507","Cobicistat (GS-9350)",NA,-0.20368718,NA
"508","Metoclopramide",NA,-0.20298757,NA
"509","HG-9-91-01",NA,-0.20291778,NA
"510","PF-04217903",NA,-0.20287009,-0.2511084
"511","Flavoxate",NA,-0.202608,NA
"512","N-Benzylquinazolin-4-amine",NA,-0.20241384,NA
