Name_GeneSymbol,Value_LogDiffExp,Significane_pvalue
ATP8B2,0.399177464,0.007258238
MFAP3,0.398637167,1.88641613826213e-05
ALDOC,0.398060083,3.11474905283813e-06
LMAN2L,0.397022583,6.47763843071278e-07
TRAT1,0.396713214,0.132260616
FCGR1CP,0.395933881,0.056083413
APOLD1,0.395854,0.001267967
GLMP,0.39560375,0.005179665
GABBR1,0.395592179,0.001064506
P2RY14,0.395547321,0.076780281
LOC100131508,0.395453548,0.003440476
PCED1B,0.395407155,0.013553812
EFL1P1,0.395252988,0.043491709
MTFR1L,0.394622976,1.443405524405e-06
SNORD116-15,0.393553726,0.123202933
ADAP2,0.392781119,0.00928743
TAS2R4,0.392275905,0.012189025
ITGA6,0.392039726,0.012857723
RNVU1-4,0.391819571,0.014558031
PARP6,0.39131756,1.50813182821897e-06
PGAM4,0.391316429,1.87211246153128e-06
TBC1D3I,0.390990167,0.002126757
COMMD10,0.39096544,0.007989238
CLUHP3,0.390956131,0.004821041
SNX20,0.390850583,0.000539332
SERPING1,0.390479476,0.2521503
IRF9,0.390458155,0.000553849
CYTH2,0.389953155,9.7057392563192e-08
CD6,0.38915269,0.01272383
TPP1,0.38857025,0.000281065
GRN,0.387903214,5.58276806303056e-05
SNHG1,0.387367,0.004505146
AQP3,0.3855985,0.001034155
SIGIRR,0.385003167,0.000216083
TMEM256-PLSCR3,0.383019893,0.001309887
C9orf131,0.382160726,0.000749966
SUMF2,0.381989,0.002790445
SFT2D2,0.381489786,0.001020323
PEA15,0.381426619,0.021723564
SNORD116-13,0.381302881,0.0052571
NAT10,0.381287524,0.003648684
CX3CR1,0.38050044,0.044570504
SCARNA9L,0.380405131,0.04010263
LPCAT3,0.380103095,6.27236412529377e-05
PIGM,0.379872786,0.004787491
CRSP8P,0.379579048,0.000604252
LFNG,0.379420036,1.65409899282862e-05
PDPK1,0.379394048,7.17089878952402e-06
SNORD116-4,0.379191714,0.110301919
LGALS9,0.378582774,0.032278425
TULP3,0.378436167,0.002452721
CCR2,0.378236143,0.027904448
MOGS,0.377982667,1.39889690961782e-05
SCML1,0.377876833,0.039553148
TRABD2A,0.37761456,0.007162056
ESYT1,0.377611048,0.013953677
TIMMDC1,0.377608667,0.003424339
HARS1,0.377274881,6.88464090762674e-05
TRAJ17,0.376855702,0.027325934
PHF19,0.376005393,3.87630027032814e-07
CEACAM1,0.375868202,0.075825068
LOC105369230,0.375784048,0.008065444
MICB,0.375594786,0.00145898
LRRFIP1,0.37558375,0.00342705
ZSWIM1,0.375462988,1.42806757228868e-05
OR7E37P,0.37519675,0.001848925
TXK,0.375008131,0.027405158
ZNF641,0.374939726,0.0040434
CD300E,0.37486644,0.016162471
TTYH3,0.37405669,0.000380634
TK2,0.373803131,0.00254166
ZNF382,0.373517857,0.051195063
ZNF772,0.37295119,0.00217384
FBL,0.37281375,0.007704385
RPL29,0.372599524,0.006395006
GALT,0.370569917,0.000633701
CRYBG3,0.370522762,0.00737453
AAR2,0.370175643,0.000126317
CLEC10A,0.369755417,8.82772544811753e-05
AKR1A1,0.369146107,0.002023351
FPR3,0.369060881,0.017226038
TBRG4,0.368651381,2.79842902658882e-05
LOC100996732,0.368586548,0.000857631
CFP,0.368427738,7.39483749627323e-05
ERAL1,0.368155798,0.001419751
SNORD58A,0.368092786,0.080416103
TMEM254,0.36790681,0.005130207
SGF29,0.367779036,0.000642026
PRKAB2,0.367672155,0.001136687
SRPRB,0.367637345,0.004667717
PADI2,0.367362595,0.119384465
POLH,0.367196881,0.002668859
FLT3LG,0.367002714,0.001352336
CA5B,0.366953881,0.013069806
LMAN2,0.366842262,1.26078370176538e-07
RPS6,0.366474131,0.051645797
PRUNE1,0.366295762,0.000218608
NEDD8-MDP1,0.366230357,0.001237297
CTSH,0.366129714,0.012661227
EPSTI1,0.364840714,0.341358815
SNORA36C,0.364574929,0.00046054
MIR664B,0.364247583,0.000113855
S100A10,0.364134643,0.005415737
NFKB2,0.363989607,3.20274720025517e-05
APBB3,0.363480345,1.82733505946638e-05
GPR108,0.363448012,5.3077626807798e-06
TMX2-CTNND1,0.363443548,0.004558748
PLXNB2,0.363371071,0.015373286
OR52K1,0.363257155,0.042891514
DOK2,0.362801083,0.006530651
FCRL5,0.362612345,0.028203768
LOC100509780,0.362574167,0.01891755
GLA,0.362228952,2.29383095526403e-05
SCIMP,0.362061512,0.018348774
ZNF528,0.361853869,0.009336845
MB21D2,0.361639845,0.006086281
LIMK2,0.361583083,0.003916709
SLC7A6,0.361500857,0.009407859
G6PC3,0.361462679,0.000367652
SGSH,0.361149655,0.000131526
RNVU1-15,0.360818845,0.018239412
TMEM88,0.360592012,0.014571959
GMEB1,0.360348512,1.3198046408687e-06
NPFF,0.360243262,1.49058051780497e-06
DENND2D,0.35939806,0.010700037
HEMK1,0.359311214,2.58702550482725e-05
FBXO42,0.35873931,2.63107532122534e-07
ELAC2,0.358404179,0.001119848
SIGLEC17P,0.35820944,0.006672907
ARRDC1-AS1,0.35815169,4.76161229390579e-05
LY9,0.357796869,0.018976407
PACSIN2,0.357749905,0.010945697
LOC731157,0.35767319,1.53373095857324e-05
EXOSC2,0.357558714,0.015658483
BEST1,0.357457452,0.007497429
IL6ST,0.357370655,0.007726014
EOLA2,0.357341393,5.63966467044745e-06
JAM3,0.356901762,0.061223772
COPS7A,0.356068524,2.86633296513125e-07
SNN,0.355841988,0.000709528
MED10,0.35584169,0.004661961
SLA2,0.355833107,0.006489979
CCDC159,0.355713083,9.79570312399112e-05
PNPO,0.35550019,0.003232181
RRAS,0.355010857,0.024164163
CD8B,0.354974702,0.205765742
PLEKHO2,0.35474681,0.000160484
PLAG1,0.354503595,0.001265129
PTCH1,0.35372175,0.017566983
SNRPD3,0.353576488,0.000332724
PFKFB4,0.353447024,0.015082292
PTGER2,0.352789,0.025090923
PRKCSH,0.35244,5.88329408699406e-07
DHDDS,0.351888155,2.7146156180061e-05
DUSP7,0.351842214,0.001295341
KDM5C,0.35162356,0.000819173
DNAJB1,0.351504524,3.56564978390393e-05
LAIR1,0.351462381,0.01002714
ORAI2,0.35136756,0.013662468
TIMM10B,0.351166726,0.001120101
UBASH3A,0.350889405,0.024016789
DOCK9,0.350791226,0.027493752
NDRG2,0.350756679,0.00093571
ZNF609,0.350698155,2.25415096314312e-05
PRCP,0.350590952,3.55625686423769e-05
FAM86B3P,0.350533452,0.002208941
QSOX1,0.350481143,0.002379653
LINC01270,0.350404679,0.026467744
SEMA4A,0.350116048,0.001493202
GAA,0.348988548,0.004369207
EIF4B,0.34895,0.006420153
DOK3,0.348880714,0.000425388
ZDHHC16,0.348853714,0.00033396
SIT1,0.348837631,0.021509814
SNORD4A,0.348654905,0.041592166
SLC26A2,0.348164036,0.000583471
FRMD4B,0.347948333,0.004164241
SMIM7,0.347754774,9.28801099949824e-05
SNORD60,0.346819452,0.026979292
MICA,0.346398702,0.000782778
ALPK1,0.346359012,0.010044505
USP30,0.34621669,9.45022919974496e-07
CMAHP,0.346078536,0.007382733
ICAM1,0.346062083,0.00028479
UXT,0.345954643,0.002139218
MRPS27,0.345463964,0.013644205
UTP4,0.345211655,0.00425814
ZNF284,0.344922583,0.003252451
CBX7,0.344852333,2.52500856540846e-05
RPL39P5,0.344755405,0.207263643
CNTNAP3B,0.344658774,0.30916784
FBXL12,0.344614226,1.70167253521405e-07
STING1,0.344321143,0.002859726
GLYR1,0.344312512,3.19566447362959e-06
NDUFV1,0.344175667,3.18227902823479e-05
ZNF345,0.344037345,0.018324285
ZNF426,0.343857583,0.00573507
TRAF1,0.343822583,0.023966274
EPHX2,0.343566357,0.020582383
RPL9P11,0.343565798,0.219317908
APBA2,0.343295488,0.002039714
UTP15,0.343261321,0.066541549
ELOVL7,0.343054083,0.089990875
LRRC59,0.342978714,3.19372420472474e-05
EMD,0.342937131,0.000276601
RNF157,0.34234769,0.003275726
SEPTIN6,0.342180179,0.002348843
SOCS3,0.341687976,0.008196266
NHEJ1,0.341679869,0.000179957
UNK,0.340989595,1.57280547232546e-05
CR1,0.340902893,0.043188415
TPCN1,0.340778929,0.002008434
POLR3D,0.34062069,0.008155093
MADD,0.340476298,0.000765051
HSPA1B,0.340450369,0.0038833
IL4R,0.340241179,0.00639315
TSNAX-DISC1,0.340175595,0.008179065
TPT1,0.340062381,0.003637928
EPHB1,0.339522107,0.010586998
CD300LB,0.33856531,0.000706575
FLOT1,0.338553881,0.00254631
ZNF542P,0.338211786,0.007544304
RIPK3,0.338117369,1.54376353913188e-06
PIGS,0.337761167,1.79747674109073e-06
MAL,0.337557881,0.081518574
DDX41,0.337282393,4.9191501175313e-05
PLA2G4B,0.337105333,3.17547017295218e-05
ARF6,0.336802298,1.70345613701261e-05
NARS2,0.336729595,0.007992089
GSTM4,0.336693774,0.113045167
CISH,0.33636156,0.005050295
TIAM1,0.336192571,0.031141939
PDXDC2P,0.33612306,0.008000372
ZNF814,0.336067321,0.005484131
SMU1,0.335696857,0.001516474
LRRC8C,0.33564256,0.009086057
CRTC3,0.335503774,0.001283972
TMEM229B,0.335343536,0.037263922
KCTD7,0.335103131,0.004076212
NLRP6,0.335059321,0.015894009
NGDN,0.334947881,0.028928763
ACP2,0.334433893,0.00037303
PPP1R15A,0.333973179,0.015627346
TAMM41,0.333879524,0.003031987
SNORA67,0.333807155,0.001420864
CANT1,0.333715952,0.001127173
LOC101927830,0.333669155,0.000476099
TAP2,0.332783583,0.002798408
LANCL1,0.33269469,0.029238081
ZC2HC1A,0.332531274,0.051177814
ADA2,0.332054155,0.033609789
GK3,0.331932262,0.001425657
ZDHHC9,0.331728821,0.000567413
HLA-DOB,0.331657512,0.043073941
LOC729737,0.331504643,0.000960819
STX11,0.331298929,0.004141386
EHD3,0.331290536,0.028129149
ANAPC1P1,0.331158048,0.041155706
LOC102724238,0.331045488,0.006874477
DET1,0.330934274,0.003946936
PEF1,0.33092631,5.6211020791819e-06
VPS26C,0.330868929,1.82223644906144e-06
LTV1,0.330829476,0.032956861
WDR74,0.330814262,0.003118378
BAZ2A,0.33055394,0.000241549
RNF122,0.330386048,0.005111678
EIF4A3,0.330031536,5.08021147883422e-05
SUPT20HL1,0.329938631,0.0301521
SLC16A13,0.329699536,0.000379174
CLNS1A,0.329600881,0.035617682
GPR52,0.329418262,0.010184232
C12orf57,0.329359774,0.070219519
PIK3IP1,0.329257107,0.003559874
LMLN,0.329231274,4.4624247491288e-05
SEMA4C,0.329185714,0.00090967
LRG1,0.329180667,0.019310857
ADARB1,0.328753238,0.008931014
ITGAL,0.328570595,0.000323019
VPS72,0.328547155,1.08004479870061e-05
MILR1,0.328441357,0.006377811
TMEM234,0.328229429,7.4061313930517e-05
THOC6,0.327937786,0.001073698
INTS3,0.327731631,1.11530849907304e-05
PTPN18,0.32772019,2.98648294148019e-05
FOLR2,0.327625631,0.000272191
SIGLEC7,0.327434905,0.000383282
RAD54L2,0.327434298,0.000121323
SNORA80E,0.327372179,0.042749112
TNF,0.327297786,0.014251577
THEMIS,0.326987452,0.166420101
NFATC2IP,0.326960226,0.000140721
ANGEL1,0.326922714,0.000335998
RPS3A,0.326894952,0.171261128
SPIN3,0.326816464,0.000464904
CXCL16,0.326556333,0.041644
SPARC,0.326304179,0.211967875
ATP1A1,0.325790952,0.010929202
IPO11,0.325306786,0.022021008
ICAM3,0.325224286,0.000440115
SIAE,0.325175036,0.002464171
RPRD2,0.32492656,2.74498954497549e-05
TSHZ3,0.324700512,0.021470307
TM2D2,0.324481036,0.00440156
SLAMF1,0.323759952,0.037710681
RHBDF2,0.323334155,0.008793324
NAGA,0.323162524,0.013374225
SNORD12C,0.323152298,0.064129833
DNPEP,0.323134786,0.000334044
C14orf93,0.322749238,1.22176593975875e-05
CLN8,0.322682583,2.27115412191512e-05
SNORD76,0.322573417,0.172989608
CAPNS2,0.32251831,0.009016948
MARK2,0.322514381,0.001035981
TXN2,0.322425488,0.000176703
LOC100131860,0.322345345,0.004699732
MEA1,0.322217036,0.00023909
TMEM204,0.322184548,0.027586396
CLCN7,0.32197481,0.000523861
CSGALNACT1,0.321915214,0.047219631
WDR6,0.321862762,0.001951494
RABL2A,0.321063524,3.83356681192368e-05
GUSBP11,0.320857083,3.00945762708676e-05
KCTD12,0.320782214,0.000418974
EMG1,0.32073619,0.001676801
PRPF8,0.320558833,0.001977464
BCL2,0.320540476,0.007633528
ZBTB9,0.320398214,0.000101081
PIAS3,0.320212762,1.93955475296515e-05
STAT5A,0.320087286,6.61979850055012e-05
SNORD103B,0.320075369,0.012110534
RAPGEF1,0.320067274,0.000209404
CTLA4,0.32005875,0.016019932
PGD,0.320054762,0.004327947
POLR2H,0.319783452,0.032099561
SLC25A6,0.31964619,0.001599383
TMEM199,0.31926069,5.78920131711233e-08
HGSNAT,0.319209083,0.000183207
SNORD28,0.319066726,0.074900842
TTC12,0.319056643,0.004616745
BMPR2,0.31885894,0.015209394
FBP1,0.318798095,0.006469431
CTSA,0.318656905,0.00085881
NID1,0.318287179,0.043627039
MAGED1,0.31823681,0.001781547
SPMIP2,0.318209714,0.097389072
TMEM208,0.318190405,0.000266185
GPRASP1,0.318099738,0.001740617
SLFN5,0.317940155,0.084928591
SMYD5,0.317924012,6.01727111703284e-05
OR5B21,0.317658714,0.0006465
SKAP1,0.317649,0.083932812
STARD7-AS1,0.317355667,0.000158027
SCARNA9,0.317066571,0.147575667
JAK3,0.31692025,0.000208096
FPR2,0.316842131,0.014514731
PLOD3,0.316823321,0.000281737
NSUN4,0.316730643,0.006555991
RPS25,0.316508595,0.140642758
FGD2,0.316483393,0.012980717
TRA2A,0.316415774,0.000546993
SUN1,0.316259548,0.00162442
CDC14A,0.315857738,0.005121926
PPM1N,0.315857155,0.000935426
TMEM115,0.315679917,3.94884867340523e-06
GNE,0.31564419,0.000645447
DCAKD,0.315619988,0.000564823
ADCY10P1,0.315616286,0.029915678
CD96,0.315393024,0.077457784
ALG3,0.31526781,0.00629405
PI4KA,0.315237429,6.6480617658086e-05
LINC00260,0.315061988,0.003825329
VPS4A,0.314979036,4.88711621459074e-06
FFAR3,0.314826071,0.023982575
APOL6,0.314495286,0.10482339
SRRM1,0.314289845,8.83218118753957e-06
BPHL,0.314274762,0.001676637
TMED9,0.314107369,2.47989294537179e-05
RSKR,0.314045762,5.71337489195347e-07
MAK,0.313868226,0.141750737
CCND2,0.313656274,0.021197393
PLCB1,0.313496369,0.012357437
CAPG,0.313354524,0.005804335
RBM14,0.313237667,6.35896140100042e-05
IPO9,0.312501905,0.010270465
PGAP2,0.312278524,1.36932799980566e-06
SNORA41,0.312268988,0.006058688
ADGRE4P,0.312240702,0.202057569
CAPNS1,0.312157024,0.002671649
SMCR8,0.31198031,2.93377286153894e-09
UBAP2L,0.311919774,2.18459609489253e-06
PCYOX1,0.31187325,0.004105254
KICS2,0.31183544,0.000139293
GIMAP1-GIMAP5,0.311676881,0.020772088
DCTN5,0.311605452,0.008613886
FTSJ1,0.31142819,0.000347089
PEMT,0.311380655,0.001746973
ELP5,0.311378048,0.001662541
IDH3G,0.31123425,0.000849533
BCL11B,0.310397,0.007773663
VDR,0.310175202,0.00407457
CDK6,0.310079607,0.022273084
HCAR3,0.309787429,0.101095676
NKIRAS2,0.309765488,0.000136883
RNU5E-1,0.309755155,0.289690289
IFITM3,0.309395833,0.10973664
RASGRP4,0.3093015,0.006041569
LINC01000,0.30909694,0.017208208
GPA33,0.308949071,0.001734632
IL3RA,0.308870917,0.066239212
TECPR2,0.308751964,0.033120195
PLEKHO1,0.308623988,0.000609067
KLHDC1,0.308584631,0.060068642
ZMAT1,0.308570452,0.009788946
SUPT3H,0.308490012,0.040770546
SUN2,0.308440571,9.91056357524106e-05
MED8,0.308096857,1.00649255453924e-06
ITFG2,0.307848833,0.000991967
SLC24A4,0.307589714,0.006026983
ANKRD22,0.307074452,0.327272472
SPRYD4,0.306641464,0.002654535
ZBTB3,0.306559274,7.66840313119243e-06
MTG2,0.306409,1.81109026303008e-05
TMEM209,0.305999976,0.025593666
IDH3A,0.305985321,0.058544391
BCS1L,0.30596125,9.83439379708034e-05
ABHD16A,0.305732869,2.14977553080591e-05
PGAP1,0.305712702,0.113916163
PRR3,0.3051895,7.30408225856543e-08
NUDCD3,0.305119274,5.6724564173795e-06
MRPS21,0.305066012,0.043568032
SLC50A1,0.30504344,0.0055733
LAT,0.304820893,0.050350015
KLF12,0.30479819,0.114152037
ACVR2A,0.304725964,0.02695542
SNORD116-29,0.304638,0.015454579
SZT2,0.30443906,5.74314090653522e-07
PHKG2,0.304213202,2.12375662456378e-07
ZBTB20,0.304147202,0.001310542
MTF1,0.30413394,0.00144081
PRELID1,0.304037976,0.00102611
TAF9B,0.303878357,0.063076186
ETV6,0.303720595,0.000118105
SFXN3,0.303574167,0.0001725
USF1,0.303466167,1.06614751333604e-05
HSD17B7P2,0.303416321,0.002405117
COPZ1,0.303172202,0.014134079
COMMD1,0.303141774,0.015454019
RAB4B-EGLN2,0.302989071,3.46749278989631e-06
NHSL2,0.302918833,0.007943252
ADRM1,0.30283719,4.01637408561019e-07
ANO9,0.302826631,0.005931553
SLC39A7,0.302816381,1.59337809855825e-06
PPP2R1A,0.302773286,1.58244924038835e-05
IL1RN,0.302772357,0.044025311
ALKBH3,0.302615083,0.003471583
GPI,0.302609595,0.02248324
U2AF1L4,0.302375833,4.43289771073902e-05
MOV10,0.302123845,0.103440391
TIMD4,0.302091607,0.000225342
SNHG17,0.301901476,0.003487987
NOTCH1,0.301868607,0.012399348
HSPC102,0.301825429,0.224008001
MS4A14,0.301767726,0.126805767
MTRR,0.301375226,0.050147556
DPP4,0.301353131,0.148681892
NAE1,0.301246024,0.078940914
LY6G5B,0.301203024,0.002270549
UBA7,0.301193786,0.005785818
FAM174A,0.301187488,0.033964938
LENG8,0.301021345,0.000145679
FAM231A,0.300805452,0.002560766
LTA,0.300573583,0.000385349
AMPD2,0.300545631,0.007214395
SLC11A2,0.300449476,0.002573747
LRRC25,0.300266071,0.00106761
ENO2,0.300123917,0.006390198
DGCR2,0.300089083,0.000590473
NME8,0.30005994,0.084205417
ST6GAL1,0.299993917,0.021457135
SREBF2,0.299951714,0.012014905
TBC1D9B,0.299853512,0.000864777
URGCP-MRPS24,0.299631274,0.000410914
F13A1,0.299362357,0.132258095
NDUFS3,0.299087583,0.011132238
NUAK2,0.298995976,0.005791578
LILRB4,0.298898333,0.010186908
PLIN2,0.29854256,0.005225857
TCEA3,0.298460857,0.015501292
NRM,0.298200631,0.000737116
RNF144A,0.298199702,0.014131126
APOL2,0.297975476,0.001885935
PGGHG,0.297904714,0.022374127
C6orf47,0.297818869,0.000126423
PDK1,0.297805655,0.002406837
HLA-DRB1,0.297539833,0.415114973
OR52N4,0.297323726,0.099728585
GORASP1,0.297121155,0.000167889
POGLUT1,0.297062012,0.028857185
SLC16A10,0.296997893,0.022447995
PTCH2,0.296918655,0.025911844
INKA2,0.296795321,0.086287184
SNORD95,0.296641357,0.001990999
NEO1,0.296634929,0.004477226
SNORA40,0.296525214,0.002863893
CES1,0.296382571,0.147795509
EXD2,0.296266024,0.000622533
HEG1,0.296225167,0.047852554
SHPK,0.295947345,2.68127290422136e-05
NOTCH2,0.295483095,0.006913605
MTSS1,0.29546125,0.055295826
TIMM9,0.295324036,0.029965406
ADHFE1,0.295199857,0.060060453
CLOCK,0.295053262,0.04541016
SELP,0.29504525,0.141160998
CLCN6,0.295039095,0.003233229
PGS1,0.2947895,0.002970136
TNFSF4,0.294760881,0.019339581
AAMP,0.294639381,0.000116583
AP3M2,0.294581452,0.001920369
PTPN13,0.294578571,0.011445042
SEPTIN1,0.294355643,0.036339745
NOP53,0.294327762,0.011736588
ARID5A,0.29424181,0.003345822
PID1,0.294208262,0.020230398
MIR21,0.293992929,0.055835328
AKR1B1,0.293925607,0.045880558
ST3GAL3,0.293483845,0.000447212
BSDC1,0.293364774,2.31199806596029e-06
XRCC1,0.293271071,7.22792978995734e-07
OR52K2,0.293266714,0.033463591
ANXA6,0.293150595,0.034912815
SNORA4,0.293149464,0.057016116
SNORD4B,0.293083607,0.087802398
AFAP1,0.293025048,0.004812588
ZDHHC5,0.292877643,1.2918816423157e-07
MED1,0.292788726,0.000165647
DHRS9,0.2927855,0.134806175
ATXN7,0.292686548,4.01947874232276e-05
TMEM63A,0.292633643,0.000581907
SLFN11,0.292257631,0.048372347
HIGD2A,0.292177155,0.010002849
METTL1,0.292144048,0.008161001
SNRPB,0.292127738,0.00121234
SAE1,0.292084702,2.27025636822437e-05
KCNA3,0.29203175,0.117253855
PRRC1,0.291921833,0.00506665
CTC1,0.291876369,0.000250882
MRPL21,0.29182381,0.043679524
DUSP16,0.291593071,0.000175198
TNRC18,0.291442774,0.000969991
TRBC1,0.29143044,0.014878279
